iter	Passed	Remaining
0	58	58233
1	58	29235
2	58	19570
3	59	14729
4	59	11833
5	59	9900
6	60	8523
7	60	7490
8	60	6689
9	61	6042
10	61	5515
11	61	5079
12	61	4704
13	62	4386
14	62	4111
15	62	3868
16	63	3657
17	63	3466
18	63	3298
19	64	3145
20	64	3007
21	64	2882
22	65	2767
23	65	2659
24	65	2561
25	65	2472
26	66	2390
27	66	2317
28	67	2244
29	67	2178
30	67	2115
31	67	2055
32	68	2002
33	68	1951
34	68	1901
35	69	1854
36	69	1811
37	69	1769
38	70	1730
39	70	1692
40	70	1657
41	71	1629
42	71	1599
43	72	1569
44	72	1538
45	72	1511
46	73	1485
47	73	1460
48	73	1435
49	74	1411
50	74	1387
51	74	1364
52	75	1342
53	75	1322
54	75	1305
55	76	1287
56	76	1271
57	77	1253
58	77	1235
59	77	1218
60	78	1202
61	78	1185
62	78	1169
63	78	1154
64	79	1140
65	79	1126
66	79	1112
67	80	1101
68	80	1090
69	81	1078
70	81	1066
71	81	1056
72	82	1046
73	82	1036
74	83	1027
75	83	1017
76	84	1008
77	84	998
78	84	989
79	85	980
80	85	972
81	86	963
82	86	953
83	86	944
84	87	937
85	87	929
86	87	921
87	88	912
88	88	905
89	88	897
90	89	889
91	89	882
92	89	874
93	90	868
94	90	862
95	90	856
96	91	850
97	91	844
98	92	838
99	92	832
100	92	827
101	93	821
102	93	816
103	94	810
104	94	804
105	94	798
106	95	794
107	95	789
108	96	785
109	96	780
110	97	778
111	97	774
112	98	769
113	98	765
114	98	761
115	99	757
116	99	752
117	100	748
118	100	743
119	100	739
120	101	734
121	101	729
122	101	725
123	102	721
124	102	717
125	102	713
126	103	708
127	103	704
128	103	701
129	104	698
130	104	694
131	105	691
132	105	687
133	105	683
134	106	680
135	106	676
136	106	672
137	107	668
138	107	665
139	107	661
140	108	658
141	108	653
142	108	650
143	108	647
144	109	643
145	109	640
146	109	636
147	110	633
148	110	630
149	110	628
150	111	624
151	111	623
152	112	620
153	112	618
154	112	615
155	113	613
156	113	610
157	114	607
158	114	604
159	114	602
160	114	598
161	115	596
162	115	593
163	115	590
164	116	587
165	116	584
166	116	582
167	116	579
168	117	576
169	117	574
170	117	571
171	118	568
172	118	566
173	118	563
174	119	561
175	119	559
176	119	556
177	120	554
178	120	551
179	120	550
180	121	548
181	121	546
182	121	543
183	122	541
184	122	539
185	122	537
186	123	535
187	123	533
188	123	531
189	124	529
190	124	527
191	124	525
192	125	523
193	125	521
194	125	519
195	126	517
196	126	515
197	126	513
198	127	512
199	127	510
200	127	508
201	128	506
202	128	504
203	128	502
204	129	500
205	129	499
206	129	497
207	130	495
208	130	493
209	130	491
210	131	490
211	131	488
212	131	486
213	131	484
214	132	482
215	132	481
216	133	480
217	133	478
218	133	476
219	134	475
220	134	473
221	135	473
222	135	472
223	135	470
224	136	470
225	136	468
226	137	467
227	137	466
228	138	464
229	138	463
230	138	461
231	139	460
232	139	459
233	139	458
234	140	457
235	141	456
236	141	456
237	142	456
238	143	455
239	143	454
240	144	454
241	144	453
242	145	452
243	145	451
244	146	450
245	146	449
246	147	449
247	147	448
248	148	447
249	148	446
250	149	445
251	149	444
252	150	443
253	150	442
254	151	441
255	151	441
256	152	440
257	152	439
258	153	438
259	153	437
260	154	436
261	154	435
262	154	433
263	155	433
264	156	432
265	156	431
266	156	430
267	157	429
268	157	428
269	158	427
270	158	426
271	158	425
272	159	424
273	159	422
274	159	421
275	160	420
276	160	419
277	161	418
278	161	418
279	162	417
280	162	416
281	163	415
282	163	414
283	164	415
284	165	414
285	165	414
286	166	413
287	166	412
288	167	411
289	167	409
290	167	408
291	168	407
292	168	406
293	168	405
294	169	404
295	169	403
296	170	403
297	170	402
298	171	401
299	171	400
300	172	399
301	172	398
302	172	397
303	173	396
304	173	395
305	173	394
306	174	393
307	174	392
308	175	391
309	176	392
310	176	391
311	176	390
312	177	389
313	177	388
314	178	387
315	179	387
316	179	387
317	181	388
318	181	387
319	182	387
320	182	386
321	182	385
322	183	384
323	183	383
324	183	382
325	184	380
326	184	379
327	184	378
328	185	378
329	185	377
330	186	376
331	186	375
332	186	374
333	187	373
334	187	372
335	188	372
336	188	371
337	189	370
338	189	369
339	189	368
340	191	369
341	191	368
342	192	367
343	192	367
344	193	366
345	193	365
346	194	365
347	194	364
348	195	364
349	196	364
350	197	364
351	197	363
352	198	362
353	198	362
354	198	361
355	199	360
356	200	360
357	200	360
358	201	359
359	201	358
360	202	357
361	202	356
362	202	355
363	203	355
364	203	354
365	204	354
366	204	353
367	205	352
368	205	351
369	206	351
370	206	350
371	207	350
372	207	349
373	208	348
374	208	347
375	209	347
376	209	346
377	209	345
378	210	344
379	211	344
380	211	344
381	212	343
382	212	342
383	212	341
384	213	340
385	213	339
386	213	338
387	214	337
388	214	336
389	214	335
390	215	335
391	215	334
392	215	333
393	216	332
394	216	331
395	216	330
396	217	329
397	217	329
398	218	329
399	219	328
400	219	327
401	220	327
402	220	327
403	221	326
404	221	325
405	222	325
406	222	324
407	223	323
408	223	323
409	224	323
410	225	322
411	225	321
412	225	321
413	226	320
414	226	319
415	227	319
416	227	318
417	228	317
418	228	317
419	229	316
420	229	315
421	229	314
422	230	314
423	231	313
424	231	313
425	231	312
426	232	311
427	232	311
428	233	310
429	233	309
430	234	309
431	234	308
432	234	307
433	235	306
434	235	306
435	236	305
436	236	304
437	236	303
438	237	302
439	237	302
440	237	301
441	238	300
442	238	299
443	239	299
444	239	298
445	240	298
446	240	297
447	241	297
448	241	296
449	242	295
450	242	295
451	242	294
452	243	293
453	243	292
454	243	292
455	244	291
456	244	290
457	244	289
458	245	288
459	245	288
460	245	287
461	246	286
462	246	286
463	247	285
464	247	284
465	248	284
466	248	283
467	248	282
468	249	282
469	250	282
470	250	281
471	251	281
472	251	280
473	252	280
474	252	279
475	253	278
476	253	278
477	253	277
478	254	276
479	254	275
480	254	274
481	255	274
482	255	273
483	255	272
484	256	272
485	256	271
486	257	271
487	257	270
488	258	270
489	258	269
490	259	268
491	259	268
492	260	267
493	260	266
494	260	266
495	261	265
496	261	264
497	262	264
498	262	263
499	263	263
500	263	262
501	264	262
502	264	261
503	265	261
504	266	260
505	266	260
506	266	259
507	267	258
508	267	258
509	268	257
510	268	256
511	268	256
512	269	255
513	269	254
514	269	254
515	270	253
516	271	253
517	271	252
518	272	252
519	272	251
520	273	251
521	273	250
522	273	249
523	274	249
524	274	248
525	275	247
526	275	247
527	275	246
528	275	245
529	276	245
530	276	244
531	276	243
532	277	242
533	277	242
534	278	242
535	278	241
536	279	240
537	279	239
538	279	239
539	279	238
540	280	237
541	280	237
542	281	236
543	281	236
544	282	235
545	282	235
546	283	234
547	283	234
548	284	233
549	284	232
550	285	232
551	286	232
552	286	231
553	287	231
554	287	230
555	287	229
556	288	229
557	288	228
558	288	227
559	289	227
560	289	226
561	289	225
562	290	225
563	290	224
564	290	223
565	291	223
566	291	222
567	291	222
568	292	221
569	292	220
570	293	220
571	293	219
572	293	219
573	294	218
574	294	217
575	295	217
576	295	216
577	296	216
578	296	215
579	297	215
580	297	214
581	298	214
582	298	213
583	299	213
584	299	212
585	300	212
586	300	211
587	301	211
588	302	210
589	302	210
590	303	209
591	303	209
592	304	208
593	304	208
594	305	207
595	305	207
596	306	206
597	306	205
598	306	205
599	306	204
600	307	204
601	308	203
602	308	203
603	308	202
604	309	202
605	309	201
606	310	200
607	310	200
608	310	199
609	311	198
610	311	198
611	312	197
612	312	197
613	312	196
614	313	196
615	313	195
616	314	194
617	314	194
618	314	193
619	315	193
620	315	192
621	315	191
622	315	191
623	316	190
624	316	189
625	316	189
626	316	188
627	317	187
628	317	187
629	317	186
630	318	185
631	318	185
632	318	184
633	318	184
634	319	183
635	319	182
636	319	182
637	319	181
638	320	180
639	320	180
640	320	179
641	320	178
642	321	178
643	322	178
644	322	177
645	322	176
646	322	176
647	323	175
648	323	174
649	323	174
650	324	173
651	324	173
652	324	172
653	324	171
654	325	171
655	325	170
656	325	170
657	326	169
658	326	168
659	326	168
660	327	167
661	327	167
662	327	166
663	327	165
664	328	165
665	328	164
666	328	164
667	329	163
668	329	162
669	329	162
670	329	161
671	330	161
672	330	160
673	330	159
674	330	159
675	331	158
676	331	158
677	331	157
678	332	157
679	332	156
680	332	155
681	332	155
682	333	154
683	333	154
684	333	153
685	334	152
686	334	152
687	334	151
688	334	151
689	335	150
690	335	150
691	335	149
692	335	148
693	336	148
694	336	147
695	336	147
696	337	146
697	337	145
698	337	145
699	337	144
700	338	144
701	338	143
702	338	143
703	338	142
704	339	141
705	339	141
706	339	140
707	339	140
708	340	139
709	340	139
710	340	138
711	341	137
712	341	137
713	341	136
714	341	136
715	342	135
716	342	135
717	342	134
718	343	134
719	343	133
720	343	133
721	344	132
722	344	131
723	344	131
724	344	130
725	345	130
726	345	129
727	345	129
728	345	128
729	346	128
730	346	127
731	346	126
732	347	126
733	347	125
734	347	125
