iter	Passed	Remaining
0	0	38
1	0	36
2	1	35
3	1	32
4	1	32
5	2	32
6	2	32
7	2	32
8	3	31
9	3	31
10	3	31
11	4	31
12	4	31
13	4	30
14	5	30
15	5	29
16	6	29
17	6	29
18	6	29
19	7	28
20	7	28
21	7	28
22	8	27
23	8	27
24	9	27
25	9	26
26	9	26
27	10	26
28	10	25
29	10	25
30	11	25
31	11	24
32	12	24
33	12	24
34	12	23
35	13	23
36	13	23
37	13	22
38	14	22
39	14	21
40	14	21
41	15	20
42	15	20
43	15	20
44	16	19
45	16	19
46	16	19
47	17	18
48	17	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	19	16
55	20	16
56	20	15
57	21	15
58	21	15
59	22	14
60	22	14
61	22	14
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	25	11
68	25	11
69	25	11
70	26	10
71	26	10
72	26	9
73	27	9
74	27	9
75	28	8
76	28	8
77	28	8
78	29	7
79	29	7
80	29	6
81	30	6
82	30	6
83	30	5
84	31	5
85	31	5
86	31	4
87	32	4
88	32	4
89	33	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	35	1
96	35	1
97	35	0
98	36	0
99	36	0
